Opposition,Player,Bat Or Bowl,Bat sum,Runs,Econ,Bowl Sum,Bb Bf,Ground,Inns,Mdns,Mins,Not Out,Overs,Runs Per Ball,Sr,Start Date,team,Wicketball Prob,Wkts,6S,4S
v Sri Lanka,R Ravindra (NZ),bowl,0,21,2.73,21,46,Bengaluru,1,0,,,7.4,0.456521739,,11/9/2023,NEW ZEALAND,0.043478261,2,,
v Afghanistan,R Ravindra (NZ),bowl,0,34,6.8,34,30,Chennai,2,0,,,5,1.133333333,,10/18/2023,NEW ZEALAND,0.033333333,1,,
v Netherlands,R Ravindra (NZ),bowl,0,46,4.6,46,60,Hyderabad,2,0,,,10,0.766666667,,10/9/2023,NEW ZEALAND,0.016666667,1,,
v England,R Ravindra (NZ),bowl,0,76,7.6,76,60,Ahmedabad,1,0,,,10,1.266666667,,10/5/2023,NEW ZEALAND,0.016666667,1,,
v Pakistan,DJ Mitchell (NZ),bowl,0,1,2,1,3,Bengaluru,2,0,,,0.3,0.333333333,,11/4/2023,NEW ZEALAND,0,0,,
v Bangladesh,V Kohli (IND),bowl,0,2,4,2,3,Pune,1,0,,,0.3,0.666666667,,10/19/2023,INDIA,0,0,,
v Bangladesh,DJ Mitchell (NZ),bowl,0,11,11,11,6,Chennai,1,0,,,1,1.833333333,,10/13/2023,NEW ZEALAND,0,0,,
v South Africa,R Ravindra (NZ),bowl,0,17,8.5,17,12,Pune,1,0,,,2,1.416666667,,11/1/2023,NEW ZEALAND,0,0,,
v Bangladesh,R Ravindra (NZ),bowl,0,37,5.28,37,42,Chennai,1,0,,,7,0.880952381,,10/13/2023,NEW ZEALAND,0,0,,
v India,R Ravindra (NZ),bowl,0,46,5.11,46,54,Dharamsala,2,0,,,9,0.851851852,,10/22/2023,NEW ZEALAND,0,0,,
v Australia,R Ravindra (NZ),bowl,0,56,7,56,48,Dharamsala,1,0,,,8,1.166666667,,10/28/2023,NEW ZEALAND,0,0,,
v Bangladesh,Q de Kock (SA),bat,174,174,,0,140,Wankhede,1,,192,0,,1.2428,124.28,10/24/2023,SOUTH AFRICA,0.007142857,,7,15
v Afghanistan,R Sharma (IND),bat,131,131,,0,84,Delhi,2,,111,0,,1.5595,155.95,10/11/2023,INDIA,0.011904762,,5,16
v India,DJ Mitchell (NZ),bat,130,130,,0,127,Dharamsala,1,,192,0,,1.0236,102.36,10/22/2023,NEW ZEALAND,0.007874016,,5,9
v England,R Ravindra (NZ),bat,123,123,,0,96,Ahmedabad,2,,141,1,,1.2812,128.12,10/5/2023,NEW ZEALAND,0,,5,11
v Australia,R Ravindra (NZ),bat,116,116,,0,89,Dharamsala,2,,137,0,,1.3033,130.33,10/28/2023,NEW ZEALAND,0.011235955,,5,9
v New Zealand,Q de Kock (SA),bat,114,114,,0,116,Pune,1,,176,0,,0.9827,98.27,11/1/2023,SOUTH AFRICA,0.00862069,,3,10
v Australia,Q de Kock (SA),bat,109,109,,0,106,Lucknow,1,,147,0,,1.0283,102.83,10/12/2023,SOUTH AFRICA,0.009433962,,5,8
v Pakistan,R Ravindra (NZ),bat,108,108,,0,94,Bengaluru,1,,170,0,,1.1489,114.89,11/4/2023,NEW ZEALAND,0.010638298,,1,15
v Bangladesh,V Kohli (IND),bat,103,103,,0,97,Pune,2,,113,1,,1.0618,106.18,10/19/2023,INDIA,0,,4,6
v South Africa,V Kohli (IND),bat,101,101,,0,121,Eden Gardens,1,,195,1,,0.8347,83.47,11/5/2023,INDIA,0,,0,10
v Sri Lanka,Q de Kock (SA),bat,100,100,,0,84,Delhi,1,,140,0,,1.1904,119.04,10/7/2023,SOUTH AFRICA,0.011904762,,3,12
v New Zealand,V Kohli (IND),bat,95,95,,0,104,Dharamsala,2,,154,0,,0.9134,91.34,10/22/2023,INDIA,0.009615385,,2,8
v Bangladesh,DJ Mitchell (NZ),bat,89,89,,0,67,Chennai,2,,103,1,,1.3283,132.83,10/13/2023,NEW ZEALAND,0,,4,6
